ADJUVANT	YEAR	COUNTY_CODE	COUNTY_NAME	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	2022	01	ALAMEDA	196180.86977156652	613099.960256666666666666666666666666664
YES	2022	01	ALAMEDA	N/A	9287.533
NO	2022	02	ALPINE	121.716133337	654.334066666666666666666666666666666665
YES	2022	02	ALPINE	N/A	.4325
NO	2022	03	AMADOR	7431.557534631	51750.6975750000000000000000000000000001
YES	2022	03	AMADOR	N/A	4050.4138
NO	2022	04	BUTTE	119466.93992706452	505270.831733333333333333333333333333334
YES	2022	04	BUTTE	N/A	13641.7817
NO	2022	05	CALAVERAS	16707.7449128615	48472.4476999999999999999999999999999998
YES	2022	05	CALAVERAS	N/A	8519.8068
NO	2022	06	COLUSA	105406.9002556875	441061.090699999999999999999999999999999
YES	2022	06	COLUSA	N/A	7923.2524
NO	2022	07	CONTRA COSTA	176814.7997451689	945797.859008333333333333333333333333336
YES	2022	07	CONTRA COSTA	N/A	10957.4005
NO	2022	08	DEL NORTE	575.251789637	7276.89893333333333333333333333333333334
YES	2022	08	DEL NORTE	N/A	82.3158
NO	2022	09	EL DORADO	55576.1639190695	168860.102606666666666666666666666666666
YES	2022	09	EL DORADO	N/A	7521.3381
NO	2022	10	FRESNO	974753.2668376205	3109004.90430833333333333333333333333334
YES	2022	10	FRESNO	N/A	51560.2103
NO	2022	11	GLENN	73420.0372280535	234522.748008333333333333333333333333334
YES	2022	11	GLENN	N/A	5215.267
NO	2022	12	HUMBOLDT	6967.7019539915	53503.6604833333333333333333333333333338
YES	2022	12	HUMBOLDT	N/A	159.3438
NO	2022	13	IMPERIAL	363534.5980116675	840159.953908333333333333333333333333334
YES	2022	13	IMPERIAL	N/A	184139.7484
NO	2022	14	INYO	4946.373714293	16595.3006166666666666666666666666666661
YES	2022	14	INYO	N/A	9888.3996
NO	2022	15	KERN	1577193.7288254615	4065640.58532499999999999999999999999956
YES	2022	15	KERN	N/A	210548.3227
NO	2022	16	KINGS	222091.6562862815	1025660.51303333333333333333333333333334
YES	2022	16	KINGS	N/A	17659.9689
NO	2022	17	LAKE	21282.4087227684	69586.923141666666666666666666666666667
YES	2022	17	LAKE	N/A	868.8076
NO	2022	18	LASSEN	2654.735935251	5799.49214999999999999999999999999999999
YES	2022	18	LASSEN	N/A	825.1633
NO	2022	19	LOS ANGELES	1713209.99067536769	6733012.72049190476190476190476190476067
YES	2022	19	LOS ANGELES	N/A	112635.4349
NO	2022	20	MADERA	337148.147088762	900908.269776666666666666666666666666666
YES	2022	20	MADERA	N/A	37560.2071
NO	2022	21	MARIN	62347.514844836	186986.271583333333333333333333333333333
YES	2022	21	MARIN	N/A	1548.0623
NO	2022	22	MARIPOSA	3659.1195481445	11915.6523
YES	2022	22	MARIPOSA	N/A	1262.8832
NO	2022	23	MENDOCINO	1290665.3676459605	3552855.5224833333333333333333333333333
YES	2022	23	MENDOCINO	N/A	148.8805
NO	2022	24	MERCED	551430.7011902485	1634437.46492499999999999999999999999992
YES	2022	24	MERCED	N/A	18078.7527
NO	2022	25	MODOC	7724.82888237	15808.3192999999999999999999999999999999
YES	2022	25	MODOC	N/A	2628.4174
NO	2022	26	MONO	733.335498063	2211.35246666666666666666666666666666667
YES	2022	26	MONO	N/A	150.8173
NO	2022	27	MONTEREY	514806.0331885225	1938908.13355833333333333333333333333336
YES	2022	27	MONTEREY	N/A	44715.3871
NO	2022	28	NAPA	36817.621958885	105433.965158333333333333333333333333333
YES	2022	28	NAPA	N/A	1850.4702
NO	2022	29	NEVADA	37807.317180482	114949.043725000000000000000000000000002
YES	2022	29	NEVADA	N/A	2848.2197
NO	2022	30	ORANGE	681593.70897475324	2857506.3208033333333333333333333333327
YES	2022	30	ORANGE	N/A	34347.813
NO	2022	31	PLACER	137173.0016461203	1238570.85092833333333333333333333333336
YES	2022	31	PLACER	N/A	9762.844
NO	2022	32	PLUMAS	9613.864692797	30925.2852666666666666666666666666666666
YES	2022	32	PLUMAS	N/A	402.284
NO	2022	33	RIVERSIDE	472364.56288560775	2165319.48443666666666666666666666666704
YES	2022	33	RIVERSIDE	N/A	34474.8436
NO	2022	34	SACRAMENTO	239091.8301070914	1636139.44275500000000000000000000000021
YES	2022	34	SACRAMENTO	N/A	24647.978
NO	2022	35	SAN BENITO	43055.0440577971	94265.6878666666666666666666666666666658
YES	2022	35	SAN BENITO	N/A	1472.6781
NO	2022	36	SAN BERNARDINO	351826.8982283521	1453969.95892166666666666666666666666659
YES	2022	36	SAN BERNARDINO	N/A	13637.693
NO	2022	37	SAN DIEGO	939455.82700222054	2887913.97829666666666666666666666666649
YES	2022	37	SAN DIEGO	N/A	17307.7072
