ADJUVANT	YEAR	COMTRS	POUNDS_PRODUCT_APPLIED	POUNDS_CHEMICAL_APPLIED
YES	2020	34M03N03E01	.3432	N/A
YES	2020	34M03N03E01	8.8789	N/A
YES	2020	34M03N03E01	.5148	N/A
NO	2020	34M03N03E01	79.447	19.86175
NO	2020	34M03N03E01	46.8533	11.713325
NO	2020	34M03N03E01	95.4306	36.9316422
NO	2020	34M03N03E01	3.1733	.7235124
YES	2020	34M03N03E01	4.0234	N/A
YES	2020	34M03N03E01	14.5233	N/A
NO	2020	34M03N03E01	52.6873	15.8588773
YES	2020	34M03N03E01	5.2741	N/A
YES	2020	34M03N03E01	6.8223	N/A
NO	2020	34M03N03E01	5.2575	2.2870125
NO	2020	34M03N03E01	3.0984	1.347804
NO	2020	34M03N03E01	5.3808	1.2268224
NO	2020	34M03N03E01	56.2796	21.7802052
YES	2020	34M03N03E01	8.565	N/A
NO	2020	34M03N03E01	10.563	1.806273
NO	2020	34M03N03E01	89.3393	26.8911293
NO	2020	34M03N03E01	6.2339	1.0659969
YES	2020	34M03N03E05	11.4717	N/A
YES	2020	34M03N03E05	10.8719	N/A
NO	2020	34M03N03E05	109.3149	53.2363563
NO	2020	34M03N03E05	271.1207	104.9237109
YES	2020	34M03N03E05	15.5955	N/A
NO	2020	34M03N03E05	6.0672	2.639232
YES	2020	34M03N03E05	52.5256	N/A
YES	2020	34M03N03E05	1.9159	N/A
NO	2020	34M03N03E05	11.4383	1.81182672
NO	2020	34M03N03E05	10.6988	1.2196632
NO	2020	34M03N03E05	1.8266	.2082324
YES	2020	34M03N03E05	43.4703	N/A
YES	2020	34M03N03E05	84.5758	N/A
YES	2020	34M03N03E05	5.8932	N/A
NO	2020	34M03N03E05	3.4654	1.507449
YES	2020	34M03N03E05	2.1691	N/A
NO	2020	34M03N03E05	2.5046	1.089501
NO	2020	34M03N03E05	11.6953	2.6665284
YES	2020	34M03N03E05	7.8832	N/A
NO	2020	34M03N03E05	97.8775	37.8785925
YES	2020	34M03N03E05	5.6234	N/A
YES	2020	34M03N03E05	11.227	N/A
NO	2020	34M03N03E05	30.213	4.7857392
NO	2020	34M03N03E05	14.439	1.646046
YES	2020	34M03N03E05	4.1679	N/A
NO	2020	34M03N03E05	11.782	2.686296
NO	2020	34M03N03E05	51.1187	22.2366345
YES	2020	34M03N03E05	1.0829	N/A
NO	2020	34M03N03E05	86.2335	68.5556325
YES	2020	34M03N03E05	2.8322	N/A
YES	2020	34M03N03E05	11.227	N/A
YES	2020	34M03N03E05	2.6656	N/A
YES	2020	34M03N03E05	5.8703	N/A
NO	2020	34M03N03E05	29.2999	1.464995
NO	2020	34M03N03E05	3.6894	.18447
NO	2020	34M03N03E05	10.5666	.52833
YES	2020	34M03N03E05	2.8699	N/A
YES	2020	34M03N03E05	11.2362	N/A
YES	2020	34M03N03E05	22.5235	N/A
YES	2020	34M03N03E05	2.6656	N/A
NO	2020	34M03N03E05	63.6296	50.585532
NO	2020	34M03N03E05	20.4168	1.02084
NO	2020	34M03N03E05	37.8901	9.472525
NO	2020	34M03N03E05	179.801	69.582987
NO	2020	34M03N03E05	99.818	24.9545
NO	2020	34M03N03E05	94.256	36.477072
NO	2020	34M03N03E05	52.3128	13.0782
NO	2020	34M03N03E05	99.818	24.9545
NO	2020	34M03N03E05	165.1193	63.9011691
YES	2020	34M03N03E05	21.82	N/A
YES	2020	34M03N03E05	5.6911	N/A
YES	2020	34M03N03E05	10.3464	N/A
YES	2020	34M03N03E05	1.4994	N/A
NO	2020	34M03N03E05	52.675	25.652725
YES	2020	34M03N03E05	12.4132	N/A
YES	2020	34M03N03E05	5.8932	N/A
NO	2020	34M03N03E05	52.3128	13.0782
NO	2020	34M03N03E05	68.2206	26.4013722
YES	2020	34M03N03E05	11.227	N/A
YES	2020	34M03N03E05	62.4904	N/A
NO	2020	34M03N03E05	156.8923	76.4065501
YES	2020	34M03N03E05	62.3901	N/A
NO	2020	34M03N03E05	21.1557	9.2027295
YES	2020	34M03N03E05	5.8932	N/A
YES	2020	34M03N03E05	23.7596	N/A
NO	2020	34M03N03E05	127.4396	62.0630852
NO	2020	34M03N03E05	188.9036	73.1056932
NO	2020	34M03N03E05	12.7349	2.9035572
