ADJUVANT	COUNTY_NAME	COUNTY_CODE	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
NO	ALAMEDA	01	51888.5442348275	92477.4476
YES	ALAMEDA	01	N/A	8099.0592
NO	ALPINE	02	26.66248596	135.472
YES	ALPINE	02	N/A	191.9912
NO	AMADOR	03	91879.19543995	119891.5984
YES	AMADOR	03	N/A	11970.4734
NO	BUTTE	04	2723209.27935994	5852103.97979999999999999999999999999995
YES	BUTTE	04	N/A	659337.3381
NO	CALAVERAS	05	31126.4808223246	53575.5407
YES	CALAVERAS	05	N/A	15583.2692
NO	COLUSA	06	2307584.5507051	6284964.7978
YES	COLUSA	06	N/A	592662.1557
NO	CONTRA COSTA	07	220117.514654848	373157.2653
YES	CONTRA COSTA	07	N/A	44273.0342
NO	DEL NORTE	08	289875.95419351	423773.862
YES	DEL NORTE	08	N/A	289.3472
NO	EL DORADO	09	123223.20583141	203767.2167
YES	EL DORADO	09	N/A	69331.7434
NO	FRESNO	10	31439870.229052092	47065812.4836999999999999999999999999998
YES	FRESNO	10	N/A	4811887.9387
NO	GLENN	11	1973140.741458115	4668131.77004999999999999999999999999999
YES	GLENN	11	N/A	534771.4647
NO	HUMBOLDT	12	12305.8641996319	25069.71795
YES	HUMBOLDT	12	N/A	12206.0454
NO	IMPERIAL	13	4110999.3551300325	7810299.0415
YES	IMPERIAL	13	N/A	690024.919
NO	INYO	14	2952.14934799	7537.9617
YES	INYO	14	N/A	1338.7237
NO	KERN	15	24193522.754174356	39105589.0685499999999999999999999999998
YES	KERN	15	N/A	3943888.051
NO	KINGS	16	6399986.352487071	10792080.0957000000000000000000000000002
YES	KINGS	16	N/A	1359155.3837
NO	LAKE	17	732853.15812739	999581.9966
YES	LAKE	17	N/A	38017.6879
NO	LASSEN	18	189741.57197706	230505.7098
YES	LASSEN	18	N/A	9003.3311
NO	LOS ANGELES	19	820092.087836915	1559554.69219999999999999999999999999999
YES	LOS ANGELES	19	N/A	7556.4367
NO	MADERA	20	9348660.367751006	13776801.4944
YES	MADERA	20	N/A	1407966.6038
NO	MARIN	21	8983.66253378	11220.6977
YES	MARIN	21	N/A	159.0832
NO	MARIPOSA	22	3383.56368689	7244.9343
YES	MARIPOSA	22	N/A	3049.184
NO	MENDOCINO	23	727777.611845838	869062.23935
YES	MENDOCINO	23	N/A	27993.5711
NO	MERCED	24	8546658.206947872	13699472.3846499999999999999999999999998
YES	MERCED	24	N/A	1203642.5867
NO	MODOC	25	97516.18185493	217826.9555
YES	MODOC	25	N/A	37803.2233
NO	MONO	26	7445.19780612	18264.4854
YES	MONO	26	N/A	3413.111
NO	MONTEREY	27	7878993.8316601722	12233938.5084000000000000000000000000003
YES	MONTEREY	27	N/A	975402.7217
NO	NAPA	28	1320673.076216771	1743763.50365
YES	NAPA	28	N/A	96661.1186
NO	NEVADA	29	22360.40811375	32713.12725
YES	NEVADA	29	N/A	2295.6513
NO	ORANGE	30	129697.332887435	174468.623100000000000000000000000000001
